# t ax ay az
1.6 0.004026125879 0.0001157029709 -0.0001270928126
1.61 0.004026090285 0.0001164250766 -0.0001271092941
1.62 0.004026054567 0.0001171471683 -0.0001271257704
1.63 0.004026018725 0.0001178692462 -0.0001271422416
1.64 0.00402598276 0.0001185913101 -0.0001271587076
1.65 0.004025946671 0.0001193133602 -0.0001271751685
1.66 0.004025910459 0.0001200353963 -0.0001271916242
1.67 0.004025874122 0.0001207574184 -0.0001272080748
1.68 0.004025837662 0.0001214794265 -0.0001272245202
1.69 0.004025801079 0.0001222014207 -0.0001272409605
1.7 0.004025764371 0.0001229234008 -0.0001272573955
1.71 0.00402572754 0.0001236453669 -0.0001272738255
1.72 0.004025690586 0.0001243673189 -0.0001272902502
1.73 0.004025653507 0.0001250892569 -0.0001273066698
1.74 0.004025616305 0.0001258111808 -0.0001273230843
1.75 0.00402557898 0.0001265330905 -0.0001273394936
1.76 0.00402554153 0.0001272549862 -0.0001273558977
1.77 0.004025503957 0.0001279768677 -0.0001273722966
1.78 0.004025466261 0.000128698735 -0.0001273886904
1.79 0.004025428441 0.0001294205882 -0.000127405079
1.8 0.004025390497 0.0001301424272 -0.0001274214625
1.81 0.004025352429 0.0001308642519 -0.0001274378408
1.82 0.004025314238 0.0001315860624 -0.0001274542139
1.83 0.004025275924 0.0001323078587 -0.0001274705819
1.84 0.004025237485 0.0001330296407 -0.0001274869447
1.85 0.004025198923 0.0001337514084 -0.0001275033024
1.86 0.004025160238 0.0001344731618 -0.0001275196548
1.87 0.004025121429 0.0001351949009 -0.0001275360021
1.88 0.004025082496 0.0001359166256 -0.0001275523443
1.89 0.00402504344 0.000136638336 -0.0001275686813
1.9 0.00402500426 0.000137360032 -0.0001275850131
1.91 0.004024964957 0.0001380817136 -0.0001276013397
1.92 0.00402492553 0.0001388033808 -0.0001276176612
1.93 0.00402488598 0.0001395250336 -0.0001276339775
1.94 0.004024846306 0.0001402466719 -0.0001276502886
