# t x y z R phi vx vy vz vR vphi vz_cyl
0.52 10.00163377 0.112109555 0.1022798621 10.00226208 0.01120865477 0.001883856119 0.215585898 0.004368584905 0.004300115089 0.2155512407 0.004368584905
0.53 10.00165237 0.1142654113 0.1023235449 10.00230507 0.01142415633 0.001835476515 0.2155853505 0.004367973979 0.004298183917 0.2155503142 0.004367973979
0.54 10.00167048 0.116421262 0.1023672216 10.00234804 0.01163965605 0.001787097244 0.2155847926 0.004367362797 0.00429625236 0.2155493882 0.004367362797
0.55 10.00168811 0.1185771071 0.1024108922 10.00239099 0.01185515391 0.001738718308 0.2155842242 0.00436675136 0.004294320417 0.2155484625 0.00436675136
0.56 10.00170525 0.1207329464 0.1024545566 10.00243393 0.01207064992 0.001690339708 0.2155836455 0.004366139667 0.00429238809 0.2155475373 0.004366139667
0.57 10.00172192 0.1228887799 0.102498215 10.00247684 0.01228614408 0.001641961446 0.2155830563 0.004365527719 0.004290455377 0.2155466126 0.004365527719
0.58 10.00173809 0.1250446075 0.1025418672 10.00251973 0.01250163639 0.001593583526 0.2155824567 0.004364915516 0.004288522279 0.2155456882 0.004364915516
0.59 10.00175379 0.127200429 0.1025855133 10.00256261 0.01271712686 0.001545205949 0.2155818466 0.004364303057 0.004286588796 0.2155447643 0.004364303057
0.6 10.001769 0.1293562444 0.1026291532 10.00260547 0.01293261548 0.001496828716 0.2155812261 0.004363690343 0.004284654929 0.2155438408 0.004363690343
0.61 10.00178372 0.1315120535 0.1026727871 10.0026483 0.01314810225 0.001448451832 0.2155805953 0.004363077373 0.004282720678 0.2155429177 0.004363077373
0.62 10.00179797 0.1336678562 0.1027164148 10.00269112 0.01336358718 0.001400075296 0.2155799539 0.004362464149 0.004280786042 0.215541995 0.004362464149
0.63 10.00181173 0.1358236525 0.1027600364 10.00273392 0.01357907026 0.001351699113 0.2155793022 0.004361850669 0.004278851023 0.2155410728 0.004361850669
0.64 10.001825 0.1379794422 0.1028036518 10.0027767 0.0137945515 0.001303323283 0.2155786401 0.004361236934 0.00427691562 0.215540151 0.004361236934
0.65 10.00183779 0.1401352252 0.1028472611 10.00281946 0.0140100309 0.001254947809 0.2155779675 0.004360622944 0.004274979833 0.2155392296 0.004360622944
0.66 10.0018501 0.1422910015 0.1028908643 10.0028622 0.01422550845 0.001206572693 0.2155772845 0.004360008699 0.004273043663 0.2155383087 0.004360008699
0.67 10.00186192 0.1444467709 0.1029344613 10.00290492 0.01444098417 0.001158197937 0.2155765911 0.004359394199 0.004271107109 0.2155373881 0.004359394199
0.68 10.00187326 0.1466025333 0.1029780521 10.00294762 0.01465645804 0.001109823544 0.2155758872 0.004358779443 0.004269170173 0.215536468 0.004358779443
0.69 10.00188412 0.1487582886 0.1030216369 10.0029903 0.01487193007 0.001061449516 0.215575173 0.004358164433 0.004267232853 0.2155355484 0.004358164433
0.7 10.00189449 0.1509140367 0.1030652154 10.00303296 0.01508740027 0.001013075854 0.2155744483 0.004357549168 0.004265295151 0.2155346291 0.004357549168
0.71 10.00190438 0.1530697775 0.1031087878 10.00307561 0.01530286863 0.0009647025604 0.2155737132 0.004356933649 0.004263357067 0.2155337103 0.004356933649
0.72 10.00191379 0.1552255109 0.1031523541 10.00311823 0.01551833515 0.0009163296382 0.2155729677 0.004356317874 0.0042614186 0.2155327919 0.004356317874
0.73 10.00192271 0.1573812368 0.1031959142 10.00316084 0.01573379984 0.0008679570892 0.2155722118 0.004355701844 0.004259479751 0.2155318739 0.004355701844
0.74 10.00193115 0.1595369551 0.1032394681 10.00320342 0.01594926269 0.0008195849154 0.2155714454 0.00435508556 0.00425754052 0.2155309564 0.00435508556
0.75 10.0019391 0.1616926656 0.1032830159 10.00324599 0.0161647237 0.0007712131191 0.2155706686 0.004354469021 0.004255600907 0.2155300392 0.004354469021
0.76 10.00194657 0.1638483684 0.1033265575 10.00328853 0.01638018289 0.0007228417024 0.2155698815 0.004353852228 0.004253660913 0.2155291225 0.004353852228
0.77 10.00195356 0.1660040632 0.103370093 10.00333106 0.01659564024 0.0006744706674 0.2155690838 0.004353235179 0.004251720538 0.2155282063 0.004353235179
0.78 10.00196006 0.16815975 0.1034136222 10.00337357 0.01681109576 0.0006261000163 0.2155682758 0.004352617877 0.004249779781 0.2155272904 0.004352617877
0.79 10.00196608 0.1703154287 0.1034571453 10.00341606 0.01702654945 0.0005777297512 0.2155674574 0.004352000319 0.004247838643 0.215526375 0.004352000319
0.8 10.00197161 0.1724710991 0.1035006622 10.00345852 0.01724200131 0.0005293598743 0.2155666285 0.004351382507 0.004245897125 0.21552546 0.004351382507
0.81 10.00197667 0.1746267612 0.103544173 10.00350097 0.01745745134 0.0004809903877 0.2155657892 0.004350764441 0.004243955226 0.2155245454 0.004350764441
0.82 10.00198123 0.1767824148 0.1035876775 10.0035434 0.01767289954 0.0004326212936 0.2155649395 0.00435014612 0.004242012946 0.2155236313 0.00435014612
0.83 10.00198532 0.1789380599 0.1036311759 10.00358581 0.01788834592 0.0003842525941 0.2155640794 0.004349527545 0.004240070286 0.2155227176 0.004349527545
0.84 10.00198892 0.1810936964 0.1036746681 10.0036282 0.01810379047 0.0003358842914 0.2155632089 0.004348908715 0.004238127247 0.2155218043 0.004348908715
0.85 10.00199204 0.1832493241 0.1037181541 10.00367058 0.01831923319 0.0002875163876 0.2155623279 0.004348289631 0.004236183827 0.2155208914 0.004348289631
0.86 10.00199467 0.1854049429 0.1037616339 10.00371293 0.01853467409 0.0002391488848 0.2155614366 0.004347670293 0.004234240027 0.215519979 0.004347670293
