# Radial perturbation strength profile
# R_CR = 10 kpc
# radial_envelope_sigma = 2 kpc
# radial_envelope_floor = 0
# snapshot_time = 2500 Myr
# time_scale = 1
#
# Columns:
# 1  R [kpc]
# 2  B_norm = B(R) / B(R_CR)
# 3  B_raw
# 4  dB_dR
# 5  PhiS_norm = PhiS(R) / PhiS(R_CR)
# 6  A_norm = A(R) / A(R_CR)
# 7  Lz_circ = R * v_c [kpc^2/Myr]
1.29	7.61342e-05	7.61342e-05	0.000165782	4.20409	0.000320075	0.2838
1.3	7.78093e-05	7.78093e-05	0.000169235	4.21976	0.000328337	0.286
1.31	7.95192e-05	7.95192e-05	0.000172755	4.23525	0.000336783	0.2882
1.32	8.12646e-05	8.12646e-05	0.000176344	4.25054	0.000345419	0.2904
1.33	8.30463e-05	8.30463e-05	0.000180003	4.26565	0.000354246	0.2926
1.34	8.48649e-05	8.48649e-05	0.000183733	4.28056	0.00036327	0.2948
1.35	8.67212e-05	8.67212e-05	0.000187535	4.29529	0.000372493	0.297
1.36	8.86158e-05	8.86158e-05	0.00019141	4.30983	0.00038192	0.2992
1.37	9.05496e-05	9.05496e-05	0.000195361	4.32419	0.000391554	0.3014
1.38	9.25233e-05	9.25233e-05	0.000199388	4.33837	0.0004014	0.3036
1.39	9.45376e-05	9.45376e-05	0.000203492	4.35236	0.000411462	0.3058
1.4	9.65934e-05	9.65934e-05	0.000207676	4.36617	0.000421744	0.308
1.41	9.86914e-05	9.86914e-05	0.00021194	4.37981	0.000432249	0.3102
1.42	0.000100832	0.000100832	0.000216286	4.39326	0.000442983	0.3124
1.43	0.000103017	0.000103017	0.000220715	4.40654	0.00045395	0.3146
1.44	0.000105247	0.000105247	0.000225229	4.41964	0.000465154	0.3168
1.45	0.000107522	0.000107522	0.000229829	4.43257	0.0004766	0.319
1.46	0.000109844	0.000109844	0.000234517	4.44532	0.000488291	0.3212
1.47	0.000112213	0.000112213	0.000239294	4.4579	0.000500234	0.3234
1.48	0.00011463	0.00011463	0.000244162	4.47031	0.000512432	0.3256
1.49	0.000117096	0.000117096	0.000249123	4.48255	0.00052489	0.3278
1.5	0.000119613	0.000119613	0.000254177	4.49462	0.000537614	0.33
1.51	0.00012218	0.00012218	0.000259328	4.50652	0.000550608	0.3322
