# id  R  x  y  vR  vphi  Lz0  Lz_end  dLz  JR0  JR_end  dJR  eR0  eR_end  deR  vR_end
45 3.35281 3.12397 -1.21741 -0.00942124 0.217248 0.728389 0.728416 2.70615e-05 0.00110695 0.00108144 -2.55097e-05 5.19853e-05 5.0786e-05 -1.19931e-06 0.00550087
46 4.39083 0.448356 -4.36788 -0.0126874 0.219338 0.963076 0.963158 8.17451e-05 0.00227897 0.00224629 -3.26808e-05 8.09237e-05 7.97574e-05 -1.16635e-06 0.0125155
47 5.1791 0.737177 5.12637 0.00168991 0.213687 1.10671 1.10664 -6.90711e-05 0.00134807 0.00138062 3.25454e-05 4.16715e-05 4.26798e-05 1.0083e-06 -0.00720212
48 6.5032 -3.00324 5.7682 -0.00701424 0.222914 1.44965 1.44997 0.000320989 0.00140054 0.00130504 -9.55002e-05 3.30541e-05 3.0794e-05 -2.26006e-06 -0.00215348
49 3.08074 -2.52001 1.77215 0.0187325 0.220441 0.679122 0.678959 -0.000162915 0.00349126 0.00365405 0.000162794 0.000175648 0.000183868 8.22007e-06 0.0174724
50 2.01793 2.00326 -0.242889 0.0243605 0.230719 0.465575 0.465575 2.29924e-07 0.0055967 0.00559654 -1.65879e-07 0.000409814 0.000409801 -1.23301e-08 0.0286172
51 13.1858 -13.0272 2.03933 -0.00261718 0.219401 2.89299 2.89314 0.000147731 0.000319872 0.000468209 0.000148337 3.78394e-06 5.53833e-06 1.75438e-06 -0.00100806
52 9.08343 8.65518 2.75617 0.0086429 0.216715 1.96851 1.96871 0.000193251 0.0027734 0.00274126 -3.21365e-05 4.81954e-05 4.76325e-05 -5.62882e-07 -0.00260591
53 3.99128 2.0268 -3.43837 0.00512083 0.225405 0.899654 0.899659 4.40851e-06 0.00110689 0.00110416 -2.72885e-06 4.20906e-05 4.19866e-05 -1.03932e-07 -0.00443248
54 3.19479 0.847964 3.0802 -0.00366305 0.219918 0.702592 0.70259 -1.31248e-06 0.000137877 0.00013929 1.41327e-06 6.71569e-06 6.78454e-06 6.88459e-08 0.00366152
55 9.09555 -7.76166 -4.74192 0.00732079 0.223478 2.03266 2.03386 0.00119881 0.0023071 0.00233189 2.47884e-05 3.88305e-05 3.92244e-05 3.93931e-07 -0.00459646
56 3.48658 -3.11246 -1.57125 -0.0152936 0.208553 0.727137 0.726971 -0.000165091 0.00533159 0.00548978 0.000158193 0.000250346 0.000257814 7.46828e-06 0.0219319
57 2.0698 -0.965726 -1.83069 0.0136015 0.226788 0.469405 0.469405 -7.53717e-08 0.00189681 0.00189683 2.28145e-08 0.000138114 0.000138116 1.68558e-09 -0.0123693
58 2.68835 2.0658 -1.72038 -0.0040568 0.206674 0.555612 0.555627 1.44261e-05 0.00308309 0.00306888 -1.42128e-05 0.000189568 0.000188691 -8.77258e-07 0.019348
59 2.01534 -0.886195 -1.81005 -0.00162759 0.223815 0.451065 0.451065 -4.90744e-08 0.000208215 0.000208243 2.78842e-08 1.57957e-05 1.57978e-05 2.11358e-09 -0.00494332
60 15.0313 14.093 -5.22758 -0.00361586 0.216215 3.24999 3.24998 -1.17212e-05 0.00198954 0.00198037 -9.17558e-06 2.09467e-05 2.08502e-05 -9.65098e-08 0.00511198
61 4.26412 -2.87773 3.14665 -0.00267221 0.225315 0.960771 0.960754 -1.69161e-05 0.000887264 0.00090002 1.27553e-05 3.15961e-05 3.20508e-05 4.5465e-07 -0.00475178
62 4.37133 0.692315 4.31616 0.0106224 0.211269 0.923527 0.923514 -1.32107e-05 0.0036121 0.00363071 1.8613e-05 0.000133687 0.000134377 6.89924e-07 0.0161296
63 3.17771 1.81274 2.60995 -0.00421657 0.21483 0.682668 0.682645 -2.33547e-05 0.000714981 0.000738534 2.35524e-05 3.58318e-05 3.7013e-05 1.18119e-06 0.00748957
64 2.44721 -0.794996 2.31448 0.00491042 0.2419 0.59198 0.591938 -4.16948e-05 0.0082856 0.00832686 4.12675e-05 0.000476853 0.00047925 2.39779e-06 0.0307437
65 5.27074 -0.693983 5.22486 0.000161874 0.210089 1.10733 1.10727 -5.54918e-05 0.00323107 0.00325487 2.38031e-05 9.97678e-05 0.000100507 7.39316e-07 -0.00751657
66 8.43195 -8.43193 -0.0180785 -0.00197563 0.211218 1.78098 1.7803 -0.000678185 0.0041732 0.00403162 -0.000141585 8.0133e-05 7.74458e-05 -2.68722e-06 0.00588278
67 5.77285 1.56 -5.55808 0.0150573 0.220085 1.27052 1.27142 0.000900429 0.00421317 0.0037485 -0.000464668 0.000113368 0.000100806 -1.25628e-05 0.0014731
68 4.1513 -0.624578 4.10404 -0.0141612 0.22167 0.920217 0.920241 2.32427e-05 0.00277357 0.00274933 -2.42396e-05 0.000103052 0.000102149 -9.02326e-07 -0.01133
69 2.23726 -1.0735 1.96289 0.0237365 0.236062 0.528132 0.528151 1.86294e-05 0.00827835 0.00825971 -1.86396e-05 0.000533745 0.00053253 -1.21448e-06 0.0324802
70 3.74737 1.153 -3.56558 -0.0205902 0.218105 0.81732 0.817406 8.61536e-05 0.00515889 0.0050726 -8.62855e-05 0.00021558 0.000211959 -3.62076e-06 0.0150488
71 11.2558 -1.53802 -11.1503 0.00685042 0.223296 2.51339 2.51206 -0.00132978 0.00251789 0.00253627 1.83776e-05 3.42741e-05 3.45424e-05 2.68348e-07 -0.00778748
