# x [kpc]	y [kpc]	Phi_eff(x,y)
-18.8	-19.9	0.341555
-18.7	-19.9	0.340526
-18.6	-19.9	0.339502
-18.5	-19.9	0.338483
-18.4	-19.9	0.337469
-18.3	-19.9	0.336459
-18.2	-19.9	0.335455
-18.1	-19.9	0.334455
-18	-19.9	0.333461
-17.9	-19.9	0.332471
-17.8	-19.9	0.331486
-17.7	-19.9	0.330506
-17.6	-19.9	0.329531
-17.5	-19.9	0.328561
-17.4	-19.9	0.327596
-17.3	-19.9	0.326636
-17.2	-19.9	0.32568
-17.1	-19.9	0.32473
-17	-19.9	0.323785
-16.9	-19.9	0.322844
-16.8	-19.9	0.321909
-16.7	-19.9	0.320978
-16.6	-19.9	0.320053
-16.5	-19.9	0.319132
-16.4	-19.9	0.318216
-16.3	-19.9	0.317306
-16.2	-19.9	0.3164
-16.1	-19.9	0.3155
-16	-19.9	0.314604
-15.9	-19.9	0.313713
-15.8	-19.9	0.312828
-15.7	-19.9	0.311947
-15.6	-19.9	0.311071
-15.5	-19.9	0.310201
-15.4	-19.9	0.309335
-15.3	-19.9	0.308474
-15.2	-19.9	0.307619
-15.1	-19.9	0.306768
-15	-19.9	0.305923
-14.9	-19.9	0.305083
-14.8	-19.9	0.304247
-14.7	-19.9	0.303417
-14.6	-19.9	0.302592
-14.5	-19.9	0.301772
-14.4	-19.9	0.300957
-14.3	-19.9	0.300147
-14.2	-19.9	0.299342
-14.1	-19.9	0.298542
-14	-19.9	0.297748
-13.9	-19.9	0.296958
-13.8	-19.9	0.296174
-13.7	-19.9	0.295395
-13.6	-19.9	0.29462
-13.5	-19.9	0.293851
-13.4	-19.9	0.293088
-13.3	-19.9	0.292329
-13.2	-19.9	0.291575
-13.1	-19.9	0.290827
-13	-19.9	0.290084
-12.9	-19.9	0.289346
-12.8	-19.9	0.288613
-12.7	-19.9	0.287886
-12.6	-19.9	0.287163
-12.5	-19.9	0.286446
-12.4	-19.9	0.285734
-12.3	-19.9	0.285027
-12.2	-19.9	0.284326
-12.1	-19.9	0.28363
-12	-19.9	0.282939
-11.9	-19.9	0.282253
-11.8	-19.9	0.281573
-11.7	-19.9	0.280897
-11.6	-19.9	0.280228
-11.5	-19.9	0.279563
-11.4	-19.9	0.278904
-11.3	-19.9	0.27825
-11.2	-19.9	0.277601
-11.1	-19.9	0.276958
-11	-19.9	0.27632
-10.9	-19.9	0.275687
-10.8	-19.9	0.275059
-10.7	-19.9	0.274437
-10.6	-19.9	0.273821
-10.5	-19.9	0.27321
-10.4	-19.9	0.272604
-10.3	-19.9	0.272003
-10.2	-19.9	0.271408
-10.1	-19.9	0.270818
-10	-19.9	0.270234
-9.9	-19.9	0.269655
-9.8	-19.9	0.269082
-9.7	-19.9	0.268514
-9.6	-19.9	0.267951
-9.5	-19.9	0.267394
-9.4	-19.9	0.266843
-9.3	-19.9	0.266296
-9.2	-19.9	0.265756
-9.1	-19.9	0.265221
-9	-19.9	0.264691
-8.9	-19.9	0.264167
-8.8	-19.9	0.263648
-8.7	-19.9	0.263135
-8.6	-19.9	0.262627
-8.5	-19.9	0.262125
-8.4	-19.9	0.261629
-8.3	-19.9	0.261138
-8.2	-19.9	0.260653
-8.1	-19.9	0.260173
-8	-19.9	0.259699
-7.9	-19.9	0.25923
-7.8	-19.9	0.258767
-7.7	-19.9	0.25831
-7.6	-19.9	0.257858
-7.5	-19.9	0.257412
-7.4	-19.9	0.256972
-7.3	-19.9	0.256537
-7.2	-19.9	0.256108
-7.1	-19.9	0.255684
-7	-19.9	0.255266
-6.9	-19.9	0.254854
-6.8	-19.9	0.254448
-6.7	-19.9	0.254047
-6.6	-19.9	0.253652
-6.5	-19.9	0.253263
-6.4	-19.9	0.25288
-6.3	-19.9	0.252502
-6.2	-19.9	0.25213
-6.1	-19.9	0.251763
-6	-19.9	0.251403
-5.9	-19.9	0.251048
-5.8	-19.9	0.250699
-5.7	-19.9	0.250356
-5.6	-19.9	0.250019
-5.5	-19.9	0.249687
-5.4	-19.9	0.249361
-5.3	-19.9	0.249042
-5.2	-19.9	0.248727
-5.1	-19.9	0.248419
-5	-19.9	0.248117
-4.9	-19.9	0.24782
-4.8	-19.9	0.24753
-4.7	-19.9	0.247245
-4.6	-19.9	0.246966
-4.5	-19.9	0.246693
-4.4	-19.9	0.246426
-4.3	-19.9	0.246164
-4.2	-19.9	0.245909
-4.1	-19.9	0.245659
-4	-19.9	0.245416
-3.9	-19.9	0.245178
-3.8	-19.9	0.244947
-3.7	-19.9	0.244721
-3.6	-19.9	0.244501
-3.5	-19.9	0.244287
-3.4	-19.9	0.244079
-3.3	-19.9	0.243877
-3.2	-19.9	0.243681
-3.1	-19.9	0.243491
-3	-19.9	0.243307
-2.9	-19.9	0.243129
-2.8	-19.9	0.242957
-2.7	-19.9	0.242791
-2.6	-19.9	0.242631
-2.5	-19.9	0.242477
-2.4	-19.9	0.242329
-2.3	-19.9	0.242187
-2.2	-19.9	0.24205
-2.1	-19.9	0.24192
-2	-19.9	0.241796
-1.9	-19.9	0.241678
-1.8	-19.9	0.241566
-1.7	-19.9	0.241461
-1.6	-19.9	0.241361
-1.5	-19.9	0.241267
-1.4	-19.9	0.241179
-1.3	-19.9	0.241097
-1.2	-19.9	0.241022
-1.1	-19.9	0.240952
-1	-19.9	0.240888
-0.9	-19.9	0.240831
-0.8	-19.9	0.240779
-0.7	-19.9	0.240734
-0.6	-19.9	0.240694
-0.5	-19.9	0.240661
-0.4	-19.9	0.240634
-0.3	-19.9	0.240612
-0.2	-19.9	0.240597
-0.1	-19.9	0.240588
1.52933e-14	-19.9	0.240585
0.1	-19.9	0.240588
0.2	-19.9	0.240597
0.3	-19.9	0.240612
0.4	-19.9	0.240634
0.5	-19.9	0.240661
0.6	-19.9	0.240694
0.7	-19.9	0.240734
0.8	-19.9	0.240779
0.9	-19.9	0.240831
1	-19.9	0.240888
1.1	-19.9	0.240952
1.2	-19.9	0.241021
1.3	-19.9	0.241097
1.4	-19.9	0.241179
1.5	-19.9	0.241267
1.6	-19.9	0.241361
1.7	-19.9	0.24146
1.8	-19.9	0.241566
1.9	-19.9	0.241678
2	-19.9	0.241796
2.1	-19.9	0.24192
2.2	-19.9	0.24205
2.3	-19.9	0.242186
2.4	-19.9	0.242329
2.5	-19.9	0.242477
2.6	-19.9	0.242631
2.7	-19.9	0.242791
2.8	-19.9	0.242957
2.9	-19.9	0.243129
3	-19.9	0.243307
3.1	-19.9	0.243491
3.2	-19.9	0.243681
3.3	-19.9	0.243877
3.4	-19.9	0.244079
3.5	-19.9	0.244287
3.6	-19.9	0.244501
3.7	-19.9	0.244721
3.8	-19.9	0.244946
3.9	-19.9	0.245178
4	-19.9	0.245416
4.1	-19.9	0.245659
4.2	-19.9	0.245909
4.3	-19.9	0.246164
4.4	-19.9	0.246425
4.5	-19.9	0.246692
4.6	-19.9	0.246966
4.7	-19.9	0.247245
4.8	-19.9	0.247529
4.9	-19.9	0.24782
5	-19.9	0.248117
5.1	-19.9	0.248419
5.2	-19.9	0.248727
5.3	-19.9	0.249041
5.4	-19.9	0.249361
5.5	-19.9	0.249687
5.6	-19.9	0.250019
5.7	-19.9	0.250356
5.8	-19.9	0.250699
5.9	-19.9	0.251048
6	-19.9	0.251403
6.1	-19.9	0.251763
6.2	-19.9	0.25213
6.3	-19.9	0.252502
6.4	-19.9	0.252879
6.5	-19.9	0.253263
6.6	-19.9	0.253652
6.7	-19.9	0.254047
6.8	-19.9	0.254448
6.9	-19.9	0.254854
7	-19.9	0.255266
7.1	-19.9	0.255684
7.2	-19.9	0.256107
7.3	-19.9	0.256537
7.4	-19.9	0.256971
7.5	-19.9	0.257412
7.6	-19.9	0.257858
7.7	-19.9	0.25831
7.8	-19.9	0.258767
7.9	-19.9	0.25923
8	-19.9	0.259699
8.1	-19.9	0.260173
8.2	-19.9	0.260652
8.3	-19.9	0.261138
8.4	-19.9	0.261629
8.5	-19.9	0.262125
8.6	-19.9	0.262627
8.7	-19.9	0.263135
8.8	-19.9	0.263648
8.9	-19.9	0.264167
9	-19.9	0.264691
9.1	-19.9	0.26522
9.2	-19.9	0.265756
9.3	-19.9	0.266296
9.4	-19.9	0.266842
9.5	-19.9	0.267394
9.6	-19.9	0.267951
9.7	-19.9	0.268514
9.8	-19.9	0.269082
9.9	-19.9	0.269655
10	-19.9	0.270234
10.1	-19.9	0.270818
10.2	-19.9	0.271408
10.3	-19.9	0.272003
10.4	-19.9	0.272604
10.5	-19.9	0.273209
10.6	-19.9	0.273821
10.7	-19.9	0.274437
10.8	-19.9	0.275059
10.9	-19.9	0.275687
11	-19.9	0.276319
11.1	-19.9	0.276958
11.2	-19.9	0.277601
11.3	-19.9	0.27825
11.4	-19.9	0.278904
11.5	-19.9	0.279563
11.6	-19.9	0.280228
11.7	-19.9	0.280897
11.8	-19.9	0.281573
11.9	-19.9	0.282253
12	-19.9	0.282939
