# R  L  v_R  v_phi   x  y
9.53587 2.12867 -0.00339306 0.223228 0.25145 -9.53255
5.11468 1.10986 -0.0144515 0.216995 -2.79473 -4.28363
7.54746 1.64963 0.00454578 0.218567 7.45407 1.18367
4.5549 0.954041 0.00179202 0.209454 -1.79059 4.18819
10.1378 2.24131 -0.00521546 0.221084 6.12201 -8.08062
2.31501 0.531522 -0.00162381 0.229598 0.938433 2.11628
7.4686 1.62038 -0.00501316 0.216959 -4.23867 -6.14929
7.252 1.54865 0.00243108 0.213548 6.68545 2.81004
4.01063 0.913027 -0.0174925 0.227652 3.95635 0.657623
5.31411 1.10027 -0.00895376 0.207048 -0.224265 -5.30937
7.54913 1.597 -0.0137847 0.211547 6.32832 4.11603
2.40437 0.537869 0.012891 0.223705 -0.703618 2.29911
3.61773 0.81379 -0.00643027 0.224945 -1.09821 -3.44702
8.26789 1.76651 0.00280518 0.213659 -8.23129 0.777077
5.27711 1.09311 -0.0041495 0.207141 3.70179 -3.76094
5.78404 1.2887 0.00125429 0.222802 4.91713 3.0458
4.20005 0.935226 -0.0171207 0.22267 3.61308 -2.14152
8.93282 1.96025 0.0105302 0.219444 7.44065 -4.94287
2.18535 0.485113 0.000843679 0.221984 -0.0400757 -2.18498
2.51217 0.537472 0.00131931 0.213947 -2.5121 -0.0182891
2.46648 0.514538 -0.00486667 0.208612 -1.98028 -1.47038
2.72145 0.576262 -0.0261942 0.211748 -1.80832 -2.03378
2.86722 0.595881 0.00407138 0.207825 2.67477 -1.03273
7.82827 1.66659 0.00423272 0.212893 2.16767 -7.52217
6.49102 1.42354 0.00578347 0.219309 6.48839 -0.184834
12.612 2.82148 -0.00449765 0.223715 5.2936 11.4472
3.94554 0.904891 0.0153649 0.229345 -2.36846 -3.15559
3.49949 0.732242 -0.004257 0.209243 -2.80822 2.08814
6.10999 1.31167 0.00759756 0.214676 6.09601 0.413078
2.97025 0.636063 0.00824537 0.214144 0.690146 2.88896
2.12545 0.430876 0.00879837 0.202723 -0.507235 -2.06404
5.2559 1.08277 -0.00263742 0.206011 -4.22141 3.13115
2.00785 0.471179 -0.00418762 0.234668 0.416687 -1.96414
9.70634 2.19346 0.00924366 0.225982 -4.64701 8.52164
8.92223 1.9437 -0.000502802 0.217849 7.66539 4.56596
2.01709 0.470106 -0.00777932 0.233061 1.84418 -0.817121
5.47198 1.2241 -0.00305182 0.223704 2.92595 4.624
9.94939 2.14479 0.000198448 0.215571 5.91405 -8.0009
5.45329 1.24862 -0.0014247 0.228967 -1.1287 5.3352
16.5639 3.66588 -0.000867339 0.221317 -2.98274 -16.2932
4.13398 0.872594 0.02954 0.211079 -1.9535 3.64329
3.82914 0.85013 0.0056039 0.222016 -2.28224 -3.07469
2.96601 0.650986 -0.00732664 0.219482 1.82307 -2.33958
